MonthlyCharges,tenure,TotalCharges,Contract,PaymentMethod,OnlineSecurity,TechSupport,InternetService,Churn
84.0,66,4717,2,3,2,2,0,0
111.05,65,5575,0,1,2,0,1,0
100.9,72,5751,2,0,0,0,1,0
78.95,12,6384,0,2,2,0,1,1
66.85,71,4018,1,1,2,2,0,0
21.05,5,252,0,3,1,1,2,1
21.0,52,203,2,0,1,1,2,0
98.5,25,2175,0,2,0,0,1,1
20.2,1,1610,0,3,1,1,2,0
19.45,1,1483,0,2,1,1,2,0
95.0,38,3122,1,0,0,2,1,0
45.55,66,2630,1,0,0,0,0,0
110.0,68,5833,2,0,0,2,1,1
24.3,5,1,0,3,0,0,0,0
104.15,72,5672,1,2,2,0,1,0
30.15,32,6385,1,3,2,0,0,0
94.35,43,3358,1,3,0,0,1,0
19.4,72,658,2,1,1,1,2,0
96.75,55,4391,0,2,2,0,1,1
57.95,52,2642,1,1,2,2,0,0
91.65,43,3380,0,2,0,0,1,0
76.5,37,2475,0,2,0,0,1,1
54.6,64,2967,2,2,0,2,0,0
89.85,3,2128,0,2,2,0,1,0
31.05,36,240,2,0,2,0,0,0
100.25,10,124,0,2,2,0,1,1
20.65,41,6160,2,3,1,1,2,0
85.2,27,1769,0,1,0,2,1,0
99.8,56,4581,1,1,0,0,1,0
20.7,6,230,0,3,1,1,2,0
74.4,3,1931,0,2,0,0,1,1
50.7,7,3039,0,3,2,0,0,0
20.85,4,5043,0,3,1,1,2,0
88.95,33,2632,2,2,2,2,1,0
78.05,27,1755,0,2,0,0,1,1
23.55,72,1228,2,0,1,1,2,0
19.75,1,1489,0,3,1,1,2,0
56.45,71,3403,1,2,2,0,0,0
85.95,13,394,0,2,0,0,1,0
58.6,25,912,0,1,2,0,0,1
50.55,67,2837,2,0,0,2,0,0
35.45,1,3032,0,2,0,0,0,1
44.35,2,6058,0,2,0,0,0,1
25.7,43,348,2,1,1,1,2,0
75.0,23,1304,0,0,2,0,1,0
20.2,64,510,2,3,1,1,2,0
19.6,57,319,2,3,1,1,2,0
70.45,1,5510,0,3,0,0,1,1
88.05,72,5173,2,1,2,2,0,0
71.15,8,4664,0,2,2,2,0,1
101.05,61,4894,2,0,0,0,1,0
84.3,64,4419,1,1,2,0,1,0
23.95,71,1278,2,0,1,1,2,0
99.05,65,5168,2,1,2,2,1,0
19.6,3,4983,1,3,1,1,2,0
45.65,1,3821,0,2,0,0,0,1
64.5,30,1528,1,1,0,0,0,0
69.5,15,141,0,3,0,2,0,0
68.55,8,4669,0,2,0,2,0,0
95.0,7,5236,0,3,0,0,1,1
108.15,70,5988,1,1,2,0,1,0
86.1,62,4370,2,2,2,2,0,0
19.7,6,250,0,3,1,1,2,0
80.9,14,290,0,0,0,0,1,0
84.15,22,1378,0,0,0,0,1,0
20.15,22,3583,1,3,1,1,2,0
64.25,16,51,2,3,2,0,0,0
25.7,10,2166,2,0,1,1,2,0
56.0,13,5845,0,2,2,0,0,0
82.4,20,1047,0,2,2,0,1,1
69.7,2,639,0,2,0,0,1,0
73.9,53,3383,2,0,0,2,0,0
20.6,11,1966,1,3,1,1,2,0
19.9,69,659,2,3,1,1,2,0
70.9,4,2373,0,0,0,0,1,1
89.05,72,5071,2,0,2,2,0,0
45.3,58,2300,0,2,0,0,0,1
20.4,16,2790,0,2,1,1,2,0
84.25,43,3064,1,0,2,2,1,0
104.4,2,2066,0,2,0,2,1,1
81.95,14,339,2,3,0,2,0,0
94.85,53,4239,1,0,0,0,1,1
20.55,32,5230,1,0,1,1,2,0
24.7,34,5917,0,2,1,1,2,0
74.45,15,277,0,3,0,0,1,1
76.45,7,4260,0,0,2,0,1,1
105.35,15,1001,0,0,0,0,1,0
20.55,61,459,1,1,1,1,2,0
29.95,1,2507,0,0,0,0,0,1
45.3,1,3816,0,3,0,0,0,0
84.5,8,5278,0,0,0,0,1,1
74.75,33,2104,1,1,2,0,0,0
79.25,13,216,0,2,0,0,1,1
24.8,1,2044,0,2,0,0,0,1
51.8,20,48,0,3,0,0,0,0
30.4,3,6099,0,2,0,2,0,0
19.65,13,2090,1,2,1,1,2,0
56.6,40,2015,0,1,0,0,0,0
71.9,43,2757,1,1,2,2,0,0
91.0,6,4440,0,2,0,0,1,1
19.75,69,678,2,0,1,1,2,0
109.7,72,6076,2,1,2,0,1,0
19.3,59,359,2,1,1,1,2,0
96.55,20,1502,0,2,2,2,1,0
24.1,24,4822,2,0,1,1,2,0
111.35,59,5218,0,2,0,2,1,0
112.25,72,6038,2,0,0,2,1,0
20.75,1,1621,0,3,1,1,2,0
101.9,27,2333,1,1,2,2,1,0
80.05,14,218,0,1,0,2,1,0
105.55,71,5730,2,2,2,0,1,0
78.3,13,72,0,1,0,0,1,0
68.85,44,2552,0,1,0,0,1,0
79.95,33,2336,1,0,0,2,1,0
55.45,72,3571,2,1,2,2,0,0
79.9,1,5974,0,2,0,0,1,1
106.6,19,1536,0,2,2,2,1,1
102.45,64,5291,1,1,0,2,1,0
46.0,2,6174,0,1,0,0,0,1
25.25,1,2152,0,2,0,0,0,0
19.75,61,237,2,3,1,1,2,0
20.0,29,4493,1,2,1,1,2,0
86.8,23,1580,0,2,0,0,1,0
58.75,57,2976,0,0,2,0,0,0
45.25,72,2727,2,1,2,2,0,0
56.6,66,3250,2,0,2,2,0,0
84.2,65,4450,2,0,0,2,0,0
80.0,8,5063,0,0,0,0,1,0
70.15,4,2329,0,2,0,0,1,1
24.75,71,1390,2,0,1,1,2,0
20.2,1,1610,1,2,1,1,2,0
50.05,4,1326,0,3,0,2,0,1
19.35,12,1807,1,0,1,1,2,0
50.6,24,525,1,3,2,0,0,0
81.15,31,2198,1,3,2,2,0,0
55.2,1,4560,0,3,0,0,0,1
89.9,30,2365,0,1,0,2,1,0
85.3,47,3495,2,1,2,2,0,0
108.0,54,4756,2,1,2,2,1,0
93.5,50,4015,0,1,2,2,1,0
84.6,1,6175,0,3,2,0,1,1
20.25,72,1016,2,1,1,1,2,0
25.15,29,5529,0,2,1,1,2,0
54.4,2,269,0,3,0,0,0,1
29.6,10,2583,2,3,0,2,0,0
73.15,18,561,0,2,0,0,1,0
95.0,11,231,0,2,0,0,1,1
19.75,16,2456,2,3,1,1,2,0
86.6,72,5128,2,0,0,2,0,0
109.2,72,5946,2,0,0,2,1,0
74.7,41,2771,1,1,2,2,0,0
94.4,65,4999,0,2,2,0,1,0
54.8,13,5674,0,2,0,0,0,0
75.35,4,2376,0,2,2,0,1,0
65.0,41,2187,1,3,0,0,0,0
74.4,15,146,0,2,0,0,1,1
48.55,1,4051,0,3,2,0,0,1
99.0,42,3653,1,2,2,0,1,0
93.5,51,3921,1,2,2,0,1,0
70.4,2,864,0,2,0,0,1,1
40.2,1,3414,0,2,0,0,0,1
83.7,32,2280,1,1,0,2,0,0
19.85,10,1529,0,3,1,1,2,0
59.55,67,3494,2,2,0,2,0,0
115.1,61,5524,2,1,2,2,1,0
114.35,50,4775,1,1,2,2,1,0
44.6,2,6021,0,1,0,0,0,1
45.0,29,416,0,2,2,0,0,0
41.15,3,583,0,2,0,0,0,1
106.9,13,660,0,2,0,0,1,1
89.85,57,4178,0,2,0,0,1,0
49.85,31,942,2,0,2,2,0,0
113.3,45,4263,1,3,2,2,1,0
88.1,61,4589,2,3,2,2,0,0
24.9,50,363,2,0,1,1,2,0
105.0,19,1633,0,3,2,2,1,0
19.35,59,196,2,3,1,1,2,1
24.25,71,1241,2,1,1,1,2,0
94.45,16,930,0,2,0,2,1,1
59.75,57,2987,2,2,2,2,0,0
24.8,1,2044,0,0,0,0,0,1
107.05,20,1790,0,2,0,2,1,0
70.6,1,5513,0,3,0,0,1,1
85.4,5,3422,0,2,0,2,1,1
105.05,52,4658,0,2,0,0,1,1
64.95,21,615,0,0,2,0,0,0
55.0,14,5873,0,2,0,2,0,0
50.55,5,2089,0,0,0,0,0,0
55.15,6,2803,0,3,2,0,0,0
51.2,10,4212,0,2,0,0,0,0
25.4,1,2155,0,3,1,1,2,0
54.45,68,3176,0,3,2,0,0,0
95.15,18,1306,0,3,0,0,1,1
76.0,22,1316,1,1,0,0,1,0
44.35,20,6383,0,2,0,0,0,0
70.0,1,5501,0,2,0,0,1,1
74.5,8,4955,0,2,0,0,1,1
44.85,10,3698,0,1,0,0,0,1
76.1,24,1213,0,2,0,0,1,1
61.2,35,1655,1,3,2,0,0,0
86.8,23,1544,1,3,0,2,1,0
89.35,6,4686,0,2,0,0,1,0
19.7,12,1823,0,3,1,1,2,0
20.25,1,1611,0,3,1,1,2,0
76.05,71,4517,2,2,0,0,1,0
100.8,35,2977,0,2,0,0,1,0
74.55,40,2613,0,2,0,0,0,0
73.6,1,5668,0,3,2,0,1,1
64.9,23,922,1,0,0,0,0,0
95.45,4,3387,0,2,0,0,1,1
90.4,4,3083,0,2,0,2,1,0
60.3,68,3498,2,1,0,2,0,0
81.85,38,2732,0,3,0,0,1,0
24.8,52,417,2,3,1,1,2,0
74.9,32,1943,0,2,0,0,1,1
75.55,29,1683,2,3,0,2,0,0
101.15,38,3220,0,2,0,0,1,0
78.75,48,3173,1,1,2,0,0,0
19.25,1,1480,0,0,1,1,2,0
89.05,22,1460,0,2,2,2,1,0
115.05,43,4134,2,1,2,2,1,0
69.35,5,2954,0,2,0,0,1,0
80.6,5,3547,0,2,0,0,1,1
110.05,51,4697,1,1,2,2,1,0
19.9,71,643,2,1,1,1,2,0
80.3,38,2658,1,1,2,2,0,1
93.15,24,1867,0,2,0,0,1,1
91.5,35,2813,0,1,0,2,1,0
82.45,54,3700,1,0,2,2,0,1
60.0,72,3633,2,2,0,2,0,0
44.8,1,3748,0,2,0,0,0,0
48.6,9,3600,1,3,2,0,0,0
60.05,69,3568,2,0,2,2,0,0
102.7,52,4322,0,1,0,2,1,0
82.9,11,6284,0,2,0,2,1,0
70.35,2,708,0,2,0,0,1,1
35.9,28,6494,0,2,0,0,0,0
82.65,17,869,0,1,0,0,1,0
19.85,35,5709,2,3,1,1,2,0
19.2,8,1070,1,3,1,1,2,0
94.9,46,3761,1,1,0,0,1,0
73.85,7,4306,0,2,0,0,1,1
80.6,2,988,0,3,0,0,1,1
75.8,68,4426,1,0,0,2,0,1
104.6,43,4031,2,2,0,0,1,1
88.15,68,5017,2,2,2,2,0,0
94.8,36,3087,0,1,0,0,1,0
103.4,63,5270,0,2,0,0,1,1
54.65,32,1384,0,0,0,2,0,0
85.75,71,5054,2,1,2,2,0,0
67.45,66,3834,0,0,2,0,0,0
20.5,63,596,1,3,1,1,2,0
20.25,41,6250,1,1,1,1,2,0
72.1,1,5622,0,2,0,0,1,0
90.4,2,1169,0,2,0,0,1,1
19.45,70,558,2,0,1,1,2,0
44.95,23,6523,0,2,0,0,0,0
97.0,64,5175,1,0,2,0,1,0
62.8,37,1916,2,1,2,2,0,0
44.6,17,5385,1,3,0,0,0,0
89.15,7,4739,0,2,0,0,1,0
84.8,4,3201,0,0,0,0,1,1
41.9,21,6180,0,2,2,0,0,1
80.25,10,6194,0,0,0,0,1,1
54.1,16,6293,0,2,2,0,0,0
105.25,64,5392,2,2,0,2,1,0
30.75,27,6040,0,1,2,0,0,1
97.1,42,3433,1,2,2,0,1,0
20.2,5,6133,0,3,1,1,2,0
98.8,41,3385,2,0,0,2,1,0
50.3,58,2484,1,1,0,0,0,0
20.55,47,6432,2,3,1,1,2,0
75.9,18,673,0,0,0,2,1,0
96.5,5,4173,0,0,0,0,1,1
59.95,23,742,0,0,2,0,0,0
19.15,1,1478,0,3,1,1,2,0
98.65,71,5482,1,1,0,0,1,0
112.6,72,6074,2,1,2,2,1,0
20.6,33,5456,1,3,1,1,2,0
85.65,2,1358,0,2,0,0,1,1
35.75,24,6136,2,3,2,2,0,0
99.75,56,4643,1,1,0,2,1,0
96.1,37,3150,0,1,0,0,1,0
85.1,43,3162,1,1,0,2,0,0
25.35,1,2154,0,3,0,0,0,0
104.95,25,2222,0,0,0,2,1,1
89.65,61,4438,2,2,2,2,0,0
86.75,17,751,1,2,0,2,1,0
86.2,41,2895,1,0,0,2,1,0
50.65,1,4232,0,3,0,0,0,1
64.8,72,4002,2,0,2,2,0,0
90.85,1,6327,0,1,0,0,1,1
108.1,48,4285,2,0,0,0,1,0
19.95,11,1761,0,3,1,1,2,1
85.45,55,4120,0,2,0,0,1,1
54.75,42,1984,1,2,2,2,0,0
90.4,44,3475,0,3,0,0,1,0
44.0,1,3734,0,2,0,0,0,0
95.6,27,2243,0,0,0,0,1,0
84.8,27,1945,0,0,0,2,0,0
44.3,2,6299,0,2,0,0,0,0
19.9,19,3164,0,3,1,1,2,0
95.05,42,3370,0,2,0,0,1,0
90.05,66,4887,2,1,2,2,0,0
109.9,33,3188,0,0,2,2,1,0
73.95,34,2181,0,1,0,0,1,1
54.6,33,1353,0,2,0,2,0,0
20.05,23,3545,1,3,1,1,2,0
19.75,32,5062,1,0,1,1,2,0
20.05,11,2010,1,1,1,1,2,0
99.45,69,5523,0,1,0,0,1,1
55.9,68,3294,1,0,2,2,0,0
19.7,20,3581,2,3,1,1,2,0
19.8,72,862,2,1,1,1,2,0
95.4,60,4792,1,0,2,0,1,0
93.95,32,2469,0,3,0,0,1,0
19.9,1,1492,0,3,1,1,2,1
19.6,1,1486,0,3,1,1,2,1
81.35,3,1965,0,2,0,0,1,1
24.45,46,126,1,0,1,1,2,0
74.95,29,1765,0,2,0,0,1,0
87.35,51,3795,0,2,0,2,1,0
70.65,48,3070,0,0,0,0,1,0
73.25,16,364,0,0,0,0,1,0
98.7,70,5414,2,0,0,2,1,0
24.8,40,53,2,3,1,1,2,0
83.3,22,1406,0,2,0,0,1,1
75.3,1,5769,0,0,0,0,1,1
24.3,5,584,0,3,1,1,2,0
69.85,7,4328,0,0,0,0,1,0
100.55,29,2446,1,1,0,2,1,0
25.7,44,214,1,3,1,1,2,0
40.7,10,3805,0,0,2,0,0,0
51.65,55,2450,0,0,0,0,0,0
105.1,52,4477,1,0,0,0,1,0
85.95,10,6237,0,2,0,0,1,0
75.6,18,720,0,0,0,0,1,0
58.25,68,3399,1,0,2,2,0,0
19.4,61,340,0,3,1,1,2,1
65.2,72,4044,2,1,2,2,0,0
53.45,2,353,0,2,2,0,0,0
45.4,12,4345,0,0,0,0,0,1
19.75,41,6319,2,2,1,1,2,0
44.45,26,343,0,1,0,2,0,0
20.85,36,5624,1,0,1,1,2,0
114.05,72,6196,2,1,2,2,1,0
89.85,35,2744,0,0,0,2,1,0
55.05,1,4559,0,3,0,2,0,0
112.95,16,1456,0,2,2,2,1,0
101.55,49,4290,0,1,2,0,1,0
114.65,54,4944,1,3,2,2,1,0
64.8,18,311,0,2,2,0,0,0
80.4,36,2539,0,2,0,0,1,0
105.9,60,5156,0,2,0,0,1,1
69.55,1,5447,0,3,0,0,1,1
25.05,52,498,2,0,1,1,2,0
94.75,8,5819,0,2,0,0,1,0
105.5,72,5832,2,0,2,2,1,0
24.7,64,1119,1,3,1,1,2,0
69.75,22,981,0,3,2,2,0,0
60.2,60,3105,0,0,0,2,0,0
81.05,28,1859,0,2,0,0,1,1
24.4,61,769,2,3,1,1,2,0
104.15,24,2139,0,2,0,0,1,0
92.9,28,2403,1,0,0,2,1,0
80.8,30,2004,2,0,0,2,0,0
20.0,2,3254,0,3,1,1,2,0
75.1,1,5768,0,2,0,0,1,0
19.65,6,6,0,3,1,1,2,0
69.45,24,1076,0,0,0,0,0,0
101.15,4,3297,0,2,0,0,1,1
99.8,7,5337,0,2,0,0,1,1
116.05,72,6181,2,0,2,2,1,0
40.05,70,2425,2,3,0,2,0,0
102.1,64,5228,2,2,0,2,1,0
89.7,72,5256,1,2,0,0,1,0
19.9,44,6263,2,3,1,1,2,0
55.95,13,5689,0,2,0,0,0,1
20.65,17,2867,1,3,1,1,2,0
55.0,1,4558,0,2,0,0,0,1
70.05,9,4670,0,3,0,0,0,0
53.6,24,578,0,3,2,2,0,0
74.7,1,5723,0,2,0,0,1,1
80.25,24,1432,0,2,0,0,1,1
76.05,35,2386,0,2,0,2,0,0
75.7,7,4597,0,2,2,2,0,0
96.1,5,3856,0,2,0,2,1,1
69.0,15,6520,0,0,0,0,1,1
19.65,11,1887,2,3,1,1,2,0
45.3,48,1763,0,0,2,0,0,1
81.45,20,1156,0,2,0,0,1,0
108.5,72,6026,1,0,0,2,1,0
83.55,8,5384,0,2,0,0,1,1
84.5,72,5005,2,1,0,0,1,0
100.15,15,763,0,2,0,0,1,0
88.6,72,5047,2,0,0,2,0,0
52.55,0,0,2,0,2,2,0,0
74.35,1,5718,0,2,0,0,1,1
104.8,63,5265,2,0,0,0,1,0
59.0,2,270,0,2,0,0,0,0
74.4,2,711,0,2,2,0,1,1
64.05,61,3347,1,0,0,0,0,0
20.4,1,1614,0,3,1,1,2,0
43.75,22,6333,1,0,0,0,0,1
60.9,28,1320,0,3,2,2,0,0
19.8,70,725,2,0,1,1,2,0
28.45,5,568,0,2,0,0,0,1
99.7,12,436,0,0,2,0,1,1
116.25,34,3337,1,1,2,2,1,0
80.7,71,4688,2,1,2,0,1,0
65.2,70,3873,1,0,2,0,0,0
84.05,52,3681,0,0,2,2,1,0
79.45,69,4572,2,1,2,2,0,0
94.1,20,1315,0,2,0,0,1,1
78.0,11,6217,0,3,0,0,1,0
94.2,2,1155,0,2,0,2,1,1
80.5,6,4252,0,2,0,2,1,1
19.85,1,1491,0,3,1,1,2,0
94.3,20,1372,1,1,2,2,1,0
106.45,61,5094,0,2,2,0,1,0
74.35,5,2897,0,2,0,0,1,1
105.45,56,4852,0,0,0,2,1,0
95.0,30,2464,0,1,2,2,1,0
104.8,40,3525,0,0,0,2,1,1
54.3,28,982,1,3,2,2,0,0
70.05,5,2621,0,2,0,0,1,0
75.2,27,1527,0,0,2,0,1,1
20.05,12,2296,0,1,1,1,2,0
105.4,67,5492,1,2,0,0,1,0
51.6,29,819,0,2,0,0,0,0
85.5,55,3991,0,0,0,0,1,0
75.6,23,1280,0,0,0,0,1,1
100.05,34,3017,0,2,0,0,1,1
91.25,52,4006,1,2,2,0,1,0
115.75,72,6170,2,1,2,2,1,0
94.7,58,4510,1,1,0,2,1,0
19.6,35,5417,2,3,1,1,2,0
99.9,56,4709,2,0,0,2,1,0
21.1,24,4150,2,1,1,1,2,0
20.05,70,656,2,1,1,1,2,0
79.95,2,1251,0,2,0,0,1,0
107.15,68,5702,1,1,0,2,1,0
85.0,1,6206,0,2,0,0,1,1
89.55,12,42,0,2,0,0,1,0
81.55,63,4257,0,0,0,0,1,0
58.45,33,1557,1,3,2,0,0,0
95.65,69,5344,1,1,0,0,1,0
80.6,60,4191,2,0,0,2,0,0
113.1,72,6111,2,0,2,2,1,0
58.95,11,4922,0,3,0,0,0,0
19.55,1,1485,0,3,1,1,2,0
86.05,10,6154,0,0,0,0,1,1
45.55,13,4892,0,1,2,2,0,1
78.95,34,2292,1,0,0,0,1,0
86.3,39,2843,0,3,0,0,1,1
105.05,65,5345,1,0,0,2,1,0
101.9,50,4407,1,0,2,0,1,0
19.75,15,2705,0,3,1,1,2,0
110.3,72,5999,2,0,2,0,1,0
115.6,72,6106,2,0,2,2,1,0
19.35,55,291,2,0,1,1,2,0
25.6,23,4326,2,1,1,1,2,0
80.35,32,2245,0,0,0,0,1,1
68.75,56,3264,1,0,2,0,0,0
19.9,1,1492,0,0,1,1,2,0
70.6,38,2353,1,3,2,2,0,0
70.2,11,5827,0,2,0,0,1,0
49.3,1,4139,0,2,0,2,0,0
107.25,56,4936,1,2,0,2,1,0
23.6,3,6295,0,3,1,1,2,0
69.7,7,4334,0,1,2,0,0,0
99.5,59,4818,2,1,0,0,1,0
64.3,7,3778,0,0,0,2,0,0
70.85,71,4208,2,1,2,2,0,0
101.9,15,1151,1,2,2,2,1,0
73.5,71,4469,2,1,2,2,0,0
100.25,35,3057,0,2,0,0,1,1
40.4,11,3603,1,1,0,2,0,0
19.25,60,201,2,1,1,1,2,0
59.6,47,2393,2,0,0,2,0,0
64.9,11,5483,1,1,0,2,0,0
100.3,56,4650,1,1,0,0,1,1
110.85,28,2784,0,2,0,2,1,0
81.05,61,4016,2,3,2,2,0,0
98.05,31,2675,1,0,2,0,1,0
70.5,9,4893,0,2,0,0,1,0
94.55,35,2920,0,2,2,0,1,0
19.65,2,3259,0,3,1,1,2,0
19.0,12,1963,0,3,1,1,2,1
75.3,1,5769,0,3,2,0,1,1
89.2,4,2992,0,2,0,0,1,1
19.0,1,1475,0,3,1,1,2,0
20.0,3,4985,0,3,1,1,2,0
85.7,1,6213,0,2,0,0,1,1
63.25,52,2900,2,1,2,0,0,0
20.1,5,6208,1,3,1,1,2,0
99.15,72,5739,2,2,2,0,1,0
90.4,71,5295,2,2,2,2,0,0
111.9,72,6047,2,1,2,2,1,0
24.9,46,326,1,2,1,1,2,0
83.5,63,4515,2,1,2,0,0,0
84.3,30,2085,0,1,2,0,1,0
45.6,1,3820,0,3,0,0,0,0
61.65,12,5593,0,3,2,2,0,1
54.85,16,6357,2,3,2,2,0,0
65.55,4,2006,0,3,0,2,0,0
90.35,51,3916,1,1,0,0,1,0
20.4,65,760,2,1,1,1,2,0
74.55,16,318,0,1,0,2,1,0
19.95,2,3979,1,3,1,1,2,0
74.25,66,4098,1,0,0,0,1,0
108.65,46,4154,2,2,0,2,1,0
109.55,32,3123,1,0,2,2,1,0
86.65,72,4978,2,1,2,2,0,0
81.0,38,2676,2,1,2,2,0,0
47.85,51,1996,1,1,0,2,0,0
114.55,72,6138,2,0,2,2,1,0
105.25,65,5368,0,0,2,0,1,1
29.95,9,2129,0,2,0,0,0,1
65.0,9,5280,0,3,2,2,0,1
20.55,66,647,2,3,1,1,2,0
109.8,44,4103,1,1,2,0,1,0
69.5,50,2961,2,0,0,2,0,0
48.85,15,5101,0,3,0,0,0,0
25.25,8,1430,0,1,0,0,0,0
102.85,66,5487,1,1,0,2,1,0
87.55,57,4125,0,0,2,2,1,0
78.55,7,4373,0,0,0,0,1,0
34.55,10,3129,0,0,0,0,0,0
92.05,62,4751,1,2,2,0,1,0
85.05,40,2912,1,2,0,0,1,0
19.7,20,3471,2,3,1,1,2,0
20.0,7,666,0,0,1,1,2,1
95.15,25,2033,0,2,0,2,1,0
84.25,23,1571,0,2,0,0,1,0
104.6,66,5388,1,1,0,0,1,0
111.65,72,5993,2,2,0,2,1,0
90.05,49,3876,0,1,0,0,1,1
110.75,43,3965,0,0,0,2,1,1
55.0,46,2124,0,0,2,0,0,0
89.85,72,5242,2,1,2,2,0,0
20.35,10,1285,1,3,1,1,2,0
54.55,40,1870,1,0,2,2,0,0
105.5,65,5491,0,2,0,0,1,1
99.45,31,2704,2,0,0,2,1,0
70.9,68,4161,2,1,2,2,0,0
104.55,56,4778,1,0,2,0,1,1
85.25,10,6228,0,2,0,0,1,1
25.4,68,1088,2,0,1,1,2,0
56.15,43,2146,0,2,0,0,0,1
89.55,1,6302,0,2,0,0,1,1
89.85,49,3648,1,0,0,0,1,0
25.25,15,3367,0,2,1,1,2,0
94.55,20,1474,0,2,0,0,1,1
45.7,1,3822,0,3,0,0,0,1
69.65,50,2982,1,2,0,2,0,0
89.5,2,1068,0,2,0,0,1,1
70.0,24,1240,0,1,0,0,1,0
69.55,3,1854,0,0,0,0,1,1
74.6,1,5722,0,3,0,0,1,1
20.1,35,5235,2,3,1,1,2,0
24.8,17,4023,0,3,1,1,2,0
19.65,8,1112,0,2,1,1,2,1
95.1,10,6252,0,1,0,2,1,0
88.85,68,5007,2,1,2,2,0,0
78.8,45,3112,1,0,2,0,0,0
19.85,2,3036,1,3,1,1,2,1
20.35,37,5484,0,0,1,1,2,0
24.25,4,6465,0,3,0,0,0,1
45.25,10,3642,0,3,0,0,0,0
20.05,1,1607,0,3,1,1,2,0
69.55,65,3785,2,3,2,0,0,0
19.5,57,312,2,0,1,1,2,0
74.75,3,2016,0,3,0,0,1,0
